#Distance(A)    Macroscopic-Average    Planar-Average
 41.3202            -0.00007            -0.00078
 41.3828            -0.00007            -0.00075
 41.4454            -0.00006            -0.00068
 41.5080            -0.00006            -0.00055
 41.5706            -0.00006            -0.00039
 41.6332            -0.00006            -0.00021
 41.6958            -0.00006            -0.00004
 41.7584            -0.00005             0.00009
 41.8210            -0.00005             0.00016
 41.8836            -0.00004             0.00018
 41.9463            -0.00002             0.00013
 42.0089            -0.00001             0.00005
 42.0715             0.00000            -0.00003
 42.1341             0.00001            -0.00008
 42.1967             0.00002            -0.00007
 42.2593             0.00003            -0.00001
 42.3219             0.00004             0.00010
 42.3845             0.00004             0.00024
 42.4471             0.00005             0.00037
 42.5097             0.00005             0.00049
 42.5723             0.00005             0.00057
 42.6349             0.00006             0.00062
 42.6975             0.00006             0.00064
 42.7601             0.00006             0.00063
 42.8227             0.00006             0.00059
 42.8853             0.00006             0.00051
 42.9480             0.00006             0.00040
 43.0106             0.00007             0.00026
 43.0732             0.00007             0.00009
 43.1358             0.00008            -0.00008
 43.1984             0.00009            -0.00024
 43.2610             0.00010            -0.00039
 43.3236             0.00011            -0.00051
 43.3862             0.00012            -0.00059
 43.4488             0.00013            -0.00061
 43.5114             0.00013            -0.00058
 43.5740             0.00013            -0.00048
 43.6366             0.00013            -0.00034
 43.6992             0.00012            -0.00017
 43.7618             0.00010             0.00000
 43.8244             0.00008             0.00014
 43.8870             0.00006             0.00023
 43.9497             0.00003             0.00025
 44.0123             0.00000             0.00024
 44.0749            -0.00003             0.00021
 44.1375            -0.00005             0.00019
 44.2001            -0.00008             0.00022
 44.2627            -0.00010             0.00028
 44.3253            -0.00011             0.00037
 44.3879            -0.00012             0.00046
 44.4505            -0.00012             0.00052
 44.5131            -0.00012             0.00053
 44.5757            -0.00011             0.00049
 44.6383            -0.00009             0.00040
 44.7009            -0.00008             0.00027
 44.7635            -0.00007             0.00011
 44.8261            -0.00006            -0.00006
 44.8888            -0.00005            -0.00023
 44.9514            -0.00005            -0.00039
 45.0140            -0.00005            -0.00054
 45.0766            -0.00006            -0.00067
 45.1392            -0.00006            -0.00078
 45.2018            -0.00007            -0.00085
 45.2644            -0.00007            -0.00088
 45.3270            -0.00008            -0.00086
 45.3896            -0.00008            -0.00079
 45.4522            -0.00009            -0.00065
 45.5148            -0.00009            -0.00048
 45.5774            -0.00009            -0.00027
 45.6400            -0.00010            -0.00007
 45.7026            -0.00010             0.00012
 45.7652            -0.00009             0.00025
 45.8278            -0.00009             0.00032
 45.8905            -0.00008             0.00032
 45.9531            -0.00007             0.00026
 46.0157            -0.00006             0.00017
 46.0783            -0.00004             0.00008
