#Distance(A)    Macroscopic-Average    Planar-Average
 43.8465            -0.00005            -0.00160
 43.9091            -0.00017            -0.00421
 43.9718            -0.00029            -0.00678
 44.0344            -0.00043            -0.00891
 44.0970            -0.00058            -0.01025
 44.1597            -0.00075            -0.01063
 44.2223            -0.00094            -0.01001
 44.2849            -0.00116            -0.00850
 44.3476            -0.00138            -0.00633
 44.4102            -0.00159            -0.00383
 44.4729            -0.00178            -0.00138
 44.5355            -0.00193             0.00065
 44.5981            -0.00206             0.00196
 44.6608            -0.00215             0.00245
 44.7234            -0.00223             0.00226
 44.7860            -0.00229             0.00165
 44.8487            -0.00233             0.00093
 44.9113            -0.00232             0.00031
 44.9740            -0.00225            -0.00016
 45.0366            -0.00210            -0.00056
 45.0992            -0.00189            -0.00102
 45.1619            -0.00160            -0.00158
 45.2245            -0.00128            -0.00219
 45.2871            -0.00094            -0.00267
 45.3498            -0.00061            -0.00282
 45.4124            -0.00031            -0.00251
 45.4751            -0.00007            -0.00177
 45.5377             0.00010            -0.00079
 45.6003             0.00022             0.00013
 45.6630             0.00030             0.00070
 45.7256             0.00034             0.00076
 45.7882             0.00039             0.00031
 45.8509             0.00044            -0.00046
 45.9135             0.00050            -0.00128
 45.9762             0.00058            -0.00187
 46.0388             0.00068            -0.00203
 46.1014             0.00080            -0.00169
 46.1641             0.00093            -0.00093
 46.2267             0.00110             0.00012
 46.2894             0.00130             0.00128
 46.3520             0.00153             0.00239
 46.4146             0.00179             0.00334
 46.4773             0.00207             0.00403
 46.5399             0.00236             0.00444
 46.6025             0.00263             0.00456
 46.6652             0.00288             0.00442
 46.7278             0.00308             0.00409
 46.7905             0.00321             0.00368
 46.8531             0.00325             0.00330
 46.9157             0.00320             0.00305
 46.9784             0.00304             0.00297
 47.0410             0.00279             0.00305
 47.1036             0.00248             0.00326
 47.1663             0.00213             0.00355
 47.2289             0.00177             0.00390
 47.2916             0.00144             0.00434
 47.3542             0.00114             0.00494
 47.4168             0.00088             0.00574
 47.4795             0.00066             0.00672
 47.5421             0.00047             0.00771
 47.6047             0.00029             0.00839
 47.6674             0.00011             0.00837
 47.7300            -0.00007             0.00731
 47.7927            -0.00025             0.00504
 47.8553            -0.00043             0.00168
 47.9179            -0.00059            -0.00237
 47.9806            -0.00075            -0.00649
 48.0432            -0.00091            -0.01000
 48.1058            -0.00108            -0.01236
 48.1685            -0.00126            -0.01326
 48.2311            -0.00146            -0.01271
 48.2938            -0.00167            -0.01099
 48.3564            -0.00187            -0.00858
 48.4190            -0.00205            -0.00603
 48.4817            -0.00221            -0.00383
 48.5443            -0.00236            -0.00230
 48.6070            -0.00252            -0.00153
 48.6696            -0.00269            -0.00140
 48.7322            -0.00286            -0.00161
 48.7949            -0.00303            -0.00190
 48.8575            -0.00316            -0.00207
 48.9201            -0.00321            -0.00212
 48.9828            -0.00314            -0.00214
 49.0454            -0.00294            -0.00227
 49.1081            -0.00261            -0.00254
 49.1707            -0.00219            -0.00287
 49.2333            -0.00171            -0.00307
 49.2960            -0.00124            -0.00288
 49.3586            -0.00080            -0.00218
 49.4212            -0.00043            -0.00101
 49.4839            -0.00013             0.00039
 49.5465             0.00009             0.00169
 49.6092             0.00025             0.00256
 49.6718             0.00038             0.00282
 49.7344             0.00049             0.00246
 49.7971             0.00060             0.00170
 49.8597             0.00072             0.00084
 49.9223             0.00084             0.00018
 49.9850             0.00097            -0.00006
 50.0476             0.00111             0.00016
 50.1103             0.00127             0.00077
 50.1729             0.00145             0.00158
 50.2355             0.00167             0.00239
 50.2982             0.00193             0.00305
 50.3608             0.00222             0.00348
 50.4234             0.00254             0.00367
 50.4861             0.00289             0.00364
 50.5487             0.00325             0.00344
 50.6114             0.00360             0.00311
 50.6740             0.00391             0.00273
 50.7366             0.00414             0.00234
 50.7993             0.00427             0.00203
 50.8619             0.00426             0.00187
 50.9246             0.00411             0.00191
 50.9872             0.00382             0.00214
 51.0498             0.00342             0.00251
 51.1125             0.00295             0.00299
 51.1751             0.00246             0.00356
 51.2377             0.00199             0.00431
 51.3004             0.00156             0.00535
 51.3630             0.00120             0.00678
 51.4257             0.00090             0.00858
 51.4883             0.00065             0.01053
