#Distance(A)    Macroscopic-Average    Planar-Average
 36.4995            -0.00000             0.00060
 36.5621            -0.00000             0.00076
 36.6247            -0.00000             0.00084
 36.6873            -0.00000             0.00085
 36.7499            -0.00000             0.00080
 36.8125            -0.00000             0.00068
 36.8751            -0.00000             0.00052
 36.9377            -0.00000             0.00033
 37.0004            -0.00000             0.00014
 37.0630            -0.00000            -0.00004
 37.1256            -0.00000            -0.00019
 37.1882            -0.00000            -0.00031
 37.2508            -0.00000            -0.00039
 37.3134            -0.00000            -0.00043
 37.3760            -0.00000            -0.00045
 37.4386            -0.00000            -0.00046
 37.5012            -0.00000            -0.00044
 37.5638            -0.00000            -0.00040
 37.6264            -0.00000            -0.00032
 37.6890            -0.00000            -0.00021
 37.7516            -0.00000            -0.00007
 37.8142            -0.00000             0.00007
 37.8768            -0.00000             0.00017
 37.9394            -0.00000             0.00020
 38.0021            -0.00000             0.00017
 38.0647            -0.00000             0.00006
 38.1273            -0.00000            -0.00009
 38.1899            -0.00000            -0.00023
 38.2525            -0.00000            -0.00033
 38.3151            -0.00000            -0.00035
 38.3777            -0.00000            -0.00027
 38.4403            -0.00000            -0.00011
 38.5029            -0.00000             0.00011
 38.5655            -0.00000             0.00034
 38.6281            -0.00000             0.00052
 38.6907            -0.00000             0.00062
 38.7533            -0.00000             0.00063
 38.8159            -0.00000             0.00056
 38.8785            -0.00000             0.00044
 38.9411            -0.00000             0.00030
 39.0038            -0.00000             0.00016
 39.0664            -0.00000             0.00003
 39.1290            -0.00000            -0.00008
 39.1916            -0.00000            -0.00019
 39.2542            -0.00000            -0.00029
 39.3168            -0.00000            -0.00038
 39.3794            -0.00000            -0.00044
 39.4420            -0.00000            -0.00043
 39.5046            -0.00000            -0.00036
 39.5672            -0.00000            -0.00023
 39.6298            -0.00000            -0.00009
 39.6924            -0.00001             0.00002
 39.7550            -0.00001             0.00004
 39.8176            -0.00001            -0.00008
 39.8802            -0.00001            -0.00032
 39.9428            -0.00001            -0.00063
 40.0055            -0.00001            -0.00091
 40.0681            -0.00001            -0.00107
 40.1307            -0.00001            -0.00105
 40.1933            -0.00001            -0.00085
 40.2559            -0.00001            -0.00049
 40.3185            -0.00001            -0.00005
 40.3811            -0.00001             0.00041
 40.4437            -0.00000             0.00081
 40.5063            -0.00000             0.00110
 40.5689            -0.00000             0.00127
 40.6315            -0.00000             0.00132
 40.6941            -0.00000             0.00124
 40.7567            -0.00000             0.00108
 40.8193            -0.00000             0.00086
 40.8819            -0.00000             0.00060
 40.9446            -0.00000             0.00033
 41.0072            -0.00000             0.00009
 41.0698            -0.00000            -0.00013
 41.1324            -0.00000            -0.00030
 41.1950            -0.00000            -0.00041
 41.2576            -0.00000            -0.00048
 41.3202             0.00000            -0.00051
 41.3828             0.00000            -0.00053
 41.4454             0.00000            -0.00052
 41.5080             0.00000            -0.00048
 41.5706             0.00000            -0.00041
 41.6332             0.00000            -0.00030
 41.6958             0.00000            -0.00015
 41.7584             0.00000             0.00000
 41.8210             0.00000             0.00014
 41.8836             0.00000             0.00022
 41.9463             0.00000             0.00021
 42.0089             0.00000             0.00012
 42.0715             0.00000            -0.00004
 42.1341             0.00000            -0.00021
 42.1967             0.00000            -0.00035
 42.2593             0.00000            -0.00041
 42.3219             0.00000            -0.00037
 42.3845             0.00000            -0.00022
 42.4471             0.00001            -0.00001
 42.5097             0.00001             0.00024
 42.5723             0.00001             0.00045
 42.6349             0.00001             0.00059
 42.6975             0.00001             0.00063
 42.7601             0.00001             0.00058
 42.8227             0.00001             0.00047
 42.8853             0.00001             0.00033
 42.9480             0.00001             0.00018
 43.0106             0.00001             0.00004
 43.0732             0.00001            -0.00009
 43.1358             0.00001            -0.00022
 43.1984             0.00001            -0.00034
 43.2610             0.00000            -0.00045
 43.3236             0.00000            -0.00052
 43.3862             0.00000            -0.00055
 43.4488             0.00000            -0.00050
 43.5114             0.00000            -0.00038
 43.5740             0.00000            -0.00020
 43.6366             0.00000            -0.00002
 43.6992             0.00000             0.00009
 43.7618             0.00000             0.00010
 43.8244             0.00000            -0.00002
 43.8870             0.00000            -0.00025
 43.9497             0.00000            -0.00052
 44.0123             0.00000            -0.00075
 44.0749             0.00000            -0.00087
 44.1375             0.00001            -0.00082
 44.2001             0.00001            -0.00060
 44.2627             0.00001            -0.00024
 44.3253             0.00001             0.00021
 44.3879             0.00001             0.00065
 44.4505             0.00001             0.00103
 44.5131             0.00002             0.00130
 44.5757             0.00002             0.00141
 44.6383             0.00002             0.00139
 44.7009             0.00002             0.00125
 44.7635             0.00002             0.00103
 44.8261             0.00003             0.00078
 44.8888             0.00003             0.00052
 44.9514             0.00003             0.00027
 45.0140             0.00003             0.00005
 45.0766             0.00004            -0.00015
 45.1392             0.00004            -0.00031
 45.2018             0.00004            -0.00044
 45.2644             0.00005            -0.00052
 45.3270             0.00005            -0.00056
 45.3896             0.00006            -0.00056
 45.4522             0.00006            -0.00052
 45.5148             0.00007            -0.00044
 45.5774             0.00007            -0.00033
 45.6400             0.00008            -0.00021
 45.7026             0.00008            -0.00008
 45.7652             0.00009             0.00003
 45.8278             0.00009             0.00010
 45.8905             0.00010             0.00011
 45.9531             0.00010             0.00008
 46.0157             0.00011            -0.00000
 46.0783             0.00011            -0.00010
 46.1409             0.00012            -0.00018
 46.2035             0.00013            -0.00022
 46.2661             0.00013            -0.00020
 46.3287             0.00014            -0.00011
 46.3913             0.00014             0.00002
 46.4539             0.00015             0.00015
 46.5165             0.00015             0.00026
 46.5791             0.00016             0.00031
 46.6417             0.00017             0.00031
 46.7043             0.00017             0.00024
 46.7669             0.00018             0.00013
 46.8295             0.00018             0.00000
 46.8922             0.00019            -0.00013
 46.9548             0.00019            -0.00026
 47.0174             0.00020            -0.00038
 47.0800             0.00021            -0.00048
 47.1426             0.00021            -0.00057
 47.2052             0.00022            -0.00064
 47.2678             0.00023            -0.00067
 47.3304             0.00023            -0.00065
 47.3930             0.00024            -0.00057
 47.4556             0.00025            -0.00045
 47.5182             0.00026            -0.00029
 47.5808             0.00026            -0.00011
 47.6434             0.00027             0.00008
 47.7060             0.00028             0.00026
 47.7686             0.00029             0.00040
 47.8312             0.00029             0.00050
 47.8939             0.00030             0.00054
 47.9565             0.00031             0.00054
 48.0191             0.00031             0.00052
 48.0817             0.00032             0.00052
 48.1443             0.00033             0.00057
 48.2069             0.00033             0.00068
 48.2695             0.00034             0.00084
 48.3321             0.00034             0.00102
 48.3947             0.00034             0.00121
 48.4573             0.00035             0.00136
 48.5199             0.00035             0.00146
 48.5825             0.00035             0.00151
 48.6451             0.00035             0.00151
 48.7077             0.00035             0.00146
 48.7703             0.00036             0.00139
 48.8330             0.00036             0.00130
 48.8956             0.00036             0.00121
 48.9582             0.00036             0.00111
 49.0208             0.00035             0.00103
 49.0834             0.00035             0.00095
 49.1460             0.00035             0.00087
 49.2086             0.00035             0.00081
 49.2712             0.00035             0.00074
 49.3338             0.00034             0.00068
 49.3964             0.00034             0.00062
 49.4590             0.00034             0.00055
 49.5216             0.00033             0.00049
 49.5842             0.00033             0.00044
 49.6468             0.00032             0.00039
 49.7094             0.00032             0.00034
 49.7720             0.00031             0.00030
 49.8347             0.00031             0.00027
 49.8973             0.00030             0.00024
 49.9599             0.00030             0.00021
 50.0225             0.00029             0.00018
 50.0851             0.00028             0.00016
 50.1477             0.00028             0.00014
 50.2103             0.00027             0.00012
 50.2729             0.00027             0.00010
 50.3355             0.00026             0.00009
 50.3981             0.00025             0.00008
 50.4607             0.00025             0.00007
 50.5233             0.00024             0.00006
 50.5859             0.00023             0.00005
 50.6485             0.00023             0.00004
 50.7111             0.00022             0.00003
 50.7737             0.00022             0.00002
